"Resposta numérica","Facilidade de navegação na plataforma:","Design e organização visual da plataforma:","Estabilidade e desempenho técnico da plataforma:","Clareza e objetividade do conteúdo:","Clareza e objetividade do conteúdo:","Adequação da carga horária para o conteúdo:","Utilidade do curso para sua formação:","O que mais gostou na plataforma e no curso?","O que poderia ser melhorado?","Você recomendaria a plataforma Tecnocomp e o curso Pensamento Computacional para outras pessoas? Por quê?"
1,Satisfeito,Satisfeito,Satisfeito,Satisfeito,Satisfeito,Satisfeito,Satisfeito,"Gostei da interface, sendo de fácil e agradável para quem o acessa. No curso eu gostei do conteúdo, espero ter conseguido o máximo de aproveitamento que aqui me foi oferecido.","A quantidade de informações dos vídeos das aulas, deveria ser um pouco mais explicativo, com mais conteúdo.","Sim, porque é uma oportunidade muito boa para aprender e aprimorar nossos conhecimentos."
2,Satisfeito,Satisfeito,"Muito satisfeito","Muito satisfeito",Satisfeito,Satisfeito,Satisfeito,"As vídeos aulas,achei bem resumidos e explicativos.","Creio eu,que poucas coisas precisa ser melhorado,gostei bastante de tudo.","Sim,para as pessoas entenderem sobre computação e a plataforma pra eles tirarem suas dúvidas e terem clareza sobre computação."
5,Neutro,Neutro,Satisfeito,Neutro,Satisfeito,Neutro,"Muito satisfeito",,,
6,Neutro,Neutro,Satisfeito,Satisfeito,Satisfeito,"Muito satisfeito","Muito satisfeito","Aula com completo esclarecimento e domínio do assunto.","A plataforma ainda existe algumas instabilidades, principalmente nas fontes , as fontes onde deveriam ser maiores para uma visão de importância como os conteúdos.","Sim, cursos diretivos e práticos e muito acessível."
9,Satisfeito,"Muito satisfeito",Neutro,"Muito satisfeito",Neutro,Neutro,Satisfeito,"A forma em que os slides são feitos e apresentados, são muito bem organizados.",Nada,"Sim, pela forma que é trabalhado, é muito prático e fácil de aprender, é tudo organizado"
16,"Muito satisfeito",Neutro,Neutro,Satisfeito,"Muito satisfeito","Muito satisfeito","Muito satisfeito","Das aulas , muito bem explicada","Era o Desempenho técnico, mas foi normalizado","Sim,Pq me ajudou muito e podeira ajudar outros amigos meus acadêmicos"
20,Satisfeito,"Muito satisfeito",Satisfeito,"Muito satisfeito","Muito satisfeito","Muito satisfeito","Muito satisfeito","a forma simples de ensinar e no final colocar em prática","no meu ponto de vista. Nada","Recomendaria. Pois é um jeito moderno de atualizar as tecnologias atuais."
26,Satisfeito,Satisfeito,Satisfeito,Satisfeito,Satisfeito,Satisfeito,Satisfeito,"A plataforma é simples de usar, e curso foi de muita valia, veio pra somar o que já estamos estudando.","Melhorar mais a aparência, achei que os tópicos muito escondido.",Sim.
27,Satisfeito,Satisfeito,Satisfeito,Satisfeito,Satisfeito,Satisfeito,Satisfeito,"Gostei muito do curso de Pensamento Computacional,Foi um aprendizado novo e enriquecedor, que ampliou meus conhecimentos e habilidades de maneira significativa.","O curso de Pensamento Computacional foi muito bom, mas acredito que poderia ser ainda melhor com alguns ajustes. Talvez incluir mais exemplos práticos, atividades interativas ou materiais complementares ajudaria a tornar o aprendizado ainda mais eficaz.","Sim Recomendo o curso para todos que desejam desenvolver habilidades lógicas e criativas de resolução de problemas. É um aprendizado transformador e essencial para o mundo atual."
29,Satisfeito,Satisfeito,"Muito satisfeito",Satisfeito,Satisfeito,Neutro,Satisfeito,"conteúdo trazido com clareza, navegação bem eficiente.","trazer bases de conhecimento mais elaboradas para tirar duvidas ao usuário","sim, pois a plataforma oferece uma boa qualidade de aprendizagem."
31,Satisfeito,"Muito satisfeito","Muito satisfeito",Satisfeito,Satisfeito,"Muito satisfeito","Muito satisfeito",,,
32,"Muito satisfeito",Insatisfeito,"Muito insatisfeito",Satisfeito,"Muito insatisfeito",Satisfeito,Satisfeito,"Vídeo e slide","Links para estudos mais profundos","Sim, uma técnica de aprendizado excepcional"
35,Neutro,Neutro,Neutro,Neutro,Neutro,Neutro,Neutro,"Gostei de tudo","Muita coisa",Recomendo
37,Satisfeito,Satisfeito,Satisfeito,Satisfeito,"Muito satisfeito",Satisfeito,Satisfeito,"A explicação","Mais conteúdo","Parece interessante que elas saibam um dia programa"
